"id"	"eid"	"sex"
1000223	1000223	0
1000298	1000298	0
1000303	1000303	0
1000346	1000346	0
1000812	1000812	1
1001049	1001049	1
1001478	1001478	1
1001528	1001528	1
1001932	1001932	0
1002754	1002754	0
1003066	1003066	0
1003119	1003119	1
1003695	1003695	1
1004127	1004127	1
1004211	1004211	0
1004224	1004224	0
1004921	1004921	0
1004949	1004949	1
1005433	1005433	1
1005462	1005462	1
1005689	1005689	0
1006060	1006060	0
1006368	1006368	1
1007344	1007344	1
1007823	1007823	0
1008112	1008112	1
1008244	1008244	0
1008333	1008333	1
1008571	1008571	0
1008876	1008876	1
1009391	1009391	1
1009590	1009590	0
1009764	1009764	0
1010578	1010578	0
1010877	1010877	1
1011128	1011128	1
1011135	1011135	0
1011193	1011193	1
1011369	1011369	1
1011633	1011633	1
1011730	1011730	0
1012379	1012379	1
1012625	1012625	0
1012648	1012648	0
1013942	1013942	1
1014120	1014120	0
1014321	1014321	1
1014357	1014357	0
1014441	1014441	0
1014880	1014880	0
1015353	1015353	1
1015447	1015447	0
1015800	1015800	0
1015869	1015869	1
1016009	1016009	1
1016115	1016115	1
1016304	1016304	1
1016819	1016819	1
1016933	1016933	0
1017178	1017178	1
1017229	1017229	1
1017348	1017348	1
1017436	1017436	1
1017740	1017740	1
1018280	1018280	1
1018392	1018392	1
1018520	1018520	0
1018603	1018603	1
1018793	1018793	1
1018940	1018940	1
1019240	1019240	0
1019345	1019345	1
1020007	1020007	1
1020061	1020061	1
1020370	1020370	0
1020564	1020564	1
1020596	1020596	1
1020832	1020832	0
1020905	1020905	1
1021776	1021776	1
1021800	1021800	0
1021842	1021842	1
1021878	1021878	1
1022202	1022202	1
1022336	1022336	0
1022560	1022560	0
1022785	1022785	1
1022831	1022831	1
1022850	1022850	1
1022873	1022873	1
1023177	1023177	1
1023810	1023810	0
1023899	1023899	0
1024161	1024161	0
1025187	1025187	1
1025378	1025378	1
1025452	1025452	0
1025621	1025621	1
1025888	1025888	1
1026023	1026023	1
1026445	1026445	1
1026546	1026546	0
1026814	1026814	1
1027290	1027290	1
1027494	1027494	1
1027518	1027518	0
1027700	1027700	0
1027781	1027781	0
1028064	1028064	0
1028522	1028522	1
1029173	1029173	1
1029306	1029306	1
1029625	1029625	0
1030000	1030000	1
1030568	1030568	1
1030667	1030667	1
1030899	1030899	1
1030996	1030996	0
1031044	1031044	0
1031269	1031269	1
1031415	1031415	0
1031514	1031514	0
1031557	1031557	0
1031654	1031654	1
1032047	1032047	1
1032243	1032243	1
